imdb_id,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
tt0499549,7.9,1486308,83.0,81.0,PG-13,785221649.0,Won 3 Oscars. 91 wins & 131 nominations total
tt4154796,8.4,1442446,78.0,94.0,PG-13,858373000.0,Nominated for 1 Oscar. 71 wins & 132 nominations total
tt1630029,7.5,601100,67.0,76.0,PG-13,688459501.0,Won 1 Oscar. 74 wins & 153 nominations total
tt0120338,8.0,1389357,75.0,88.0,PG-13,674354882.0,Won 11 Oscars. 126 wins & 84 nominations total
tt34956443,7.9,23207,68.0,91.0,PG-13,23308176.0,20 wins & 8 nominations total
tt2488496,7.7,1018738,80.0,93.0,PG-13,936662225.0,Nominated for 5 Oscars. 64 wins & 140 nominations total
tt4154756,8.4,1368739,68.0,85.0,PG-13,678815482.0,Nominated for 1 Oscar. 48 wins & 80 nominations total
tt10872600,8.1,1017543,71.0,93.0,PG-13,814866759.0,Nominated for 1 Oscar. 35 wins & 72 nominations total
tt26443597,7.3,141989,73.0,92.0,PG,428130160.0,Nominated for 1 Oscar. 20 wins & 90 nominations total
tt22022452,7.5,245290,73.0,91.0,PG,652980194.0,Nominated for 1 Oscar. 7 wins & 107 nominations total
tt0369610,6.9,723175,59.0,72.0,PG-13,653406625.0,15 wins & 58 nominations total
tt6105098,6.8,290328,55.0,52.0,PG,543638043.0,Nominated for 1 Oscar. 21 wins & 44 nominations total
tt0848228,8.0,1555308,69.0,91.0,PG-13,623357910.0,Nominated for 1 Oscar. 40 wins & 81 nominations total
tt2820852,7.1,437204,67.0,81.0,PG-13,353007020.0,36 wins & 36 nominations total
tt1757678,7.2,191187,61.0,66.0,PG-13,404340010.0,Won 1 Oscar. 41 wins & 62 nominations total
tt1745960,8.2,855273,78.0,96.0,PG-13,718732821.0,Won 1 Oscar. 114 wins & 237 nominations total
tt4520988,6.8,216694,64.0,77.0,PG,477373578.0,Nominated for 1 Oscar. 18 wins & 95 nominations total
tt1517268,6.8,667737,80.0,88.0,PG-13,636238421.0,Won 1 Oscar. 215 wins & 436 nominations total
tt2395427,7.3,998463,66.0,75.0,PG-13,459005868.0,8 wins & 52 nominations total
tt6718170,7.0,295821,46.0,59.0,PG,574934330.0,2 wins & 49 nominations total
tt1825683,7.3,907405,88.0,96.0,PG-13,700426566.0,Won 3 Oscars. 125 wins & 289 nominations total
tt1201607,8.1,1035967,85.0,96.0,PG-13,381884297.0,Nominated for 3 Oscars. 49 wins & 96 nominations total
tt6263850,7.5,565006,56.0,77.0,R,636745858.0,31 wins & 71 nominations total
tt2527336,6.8,714411,84.0,91.0,PG-13,620181382.0,Nominated for 4 Oscars. 26 wins & 100 nominations total
tt4881806,6.1,382093,51.0,47.0,PG-13,417719760.0,5 wins & 26 nominations total
tt2294629,7.4,708011,75.0,89.0,PG,400953009.0,Won 2 Oscars. 83 wins & 60 nominations total
tt2771200,7.1,356758,65.0,71.0,PG,504481165.0,Nominated for 2 Oscars. 17 wins & 81 nominations total
tt3606756,7.5,366471,80.0,93.0,PG,608581744.0,Nominated for 1 Oscar. 14 wins & 81 nominations total
tt4630562,6.6,273831,56.0,67.0,PG-13,226008385.0,2 wins & 16 nominations total
tt1300854,7.1,964747,62.0,79.0,PG-13,409013994.0,Nominated for 1 Oscar. 20 wins & 63 nominations total
tt2293640,6.4,281964,56.0,55.0,PG,336045770.0,Nominated for 1 BAFTA Award4 wins & 29 nominations total
tt3498820,7.8,925892,75.0,90.0,PG-13,408084349.0,16 wins & 73 nominations total
tt1477834,6.8,552623,55.0,66.0,PG-13,335104314.0,3 wins & 36 nominations total
tt6320628,7.3,637793,69.0,91.0,PG-13,391283774.0,11 wins & 26 nominations total
tt4154664,6.7,658051,64.0,79.0,PG-13,426829839.0,10 wins & 57 nominations total
tt1399103,6.2,453805,42.0,35.0,PG-13,352390543.0,Nominated for 3 Oscars. 11 wins & 42 nominations total
tt0167260,9.0,2161991,94.0,94.0,PG-13,386975644.0,Won 11 Oscars. 215 wins & 124 nominations total
tt1074638,7.8,768360,81.0,92.0,PG-13,304360277.0,Won 2 Oscars. 69 wins & 125 nominations total
tt2109248,5.6,347982,32.0,18.0,PG-13,245439076.0,5 wins & 23 nominations total
tt1345836,8.4,1990749,78.0,87.0,PG-13,448149584.0,Nominated for 1 BAFTA Award. 45 wins & 103 nominations total
tt7286456,8.3,1690149,59.0,68.0,R,335477657.0,Won 2 Oscars. 120 wins & 247 nominations total
tt2527338,6.3,536918,53.0,51.0,PG-13,515202542.0,Nominated for 3 Oscars. 21 wins & 55 nominations total
tt1979376,7.6,310352,84.0,97.0,G,434038008.0,Won 1 Oscar. 61 wins & 65 nominations total
tt0435761,8.3,961588,92.0,98.0,G,415004880.0,Won 2 Oscars. 63 wins & 96 nominations total
tt0383574,7.4,825206,53.0,53.0,PG-13,423315812.0,Won 1 Oscar. 45 wins & 54 nominations total
tt13622970,6.3,125961,58.0,61.0,PG,460405297.0,6 wins & 30 nominations total
