tmdb_id,imdb_id,title,release_date,genres,budget,revenue,runtime,original_language,production_companies,popularity,tmdb_vote_average,tmdb_vote_count,release_year,genre_primary,budget_reported,revenue_reported,roi,imdb_rating,imdb_votes,metascore,rotten_tomatoes,rated,box_office,awards
19995,tt0499549,Avatar,2009-12-16,"Science Fiction, Action, Adventure",237000000.0,2923706026.0,162,en,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Film Partners",15.006,7.609,34234,2009,Science Fiction,True,True,11.336312345991562,7.9,1486308,83.0,81.0,PG-13,785221649.0,Won 3 Oscars. 91 wins & 131 nominations total
299534,tt4154796,Avengers: Endgame,2019-04-24,"Adventure, Science Fiction, Action",356000000.0,2799439100.0,181,en,Marvel Studios,13.9572,8.239,28041,2019,Adventure,True,True,6.86359297752809,8.4,1442446,78.0,94.0,PG-13,858373000.0,Nominated for 1 Oscar. 71 wins & 132 nominations total
76600,tt1630029,Avatar: The Way of Water,2022-12-14,"Action, Adventure, Science Fiction",460000000.0,2334484620.0,192,en,"20th Century Studios, Lightstorm Entertainment, TSG Entertainment",34.2096,7.6,14344,2022,Action,True,True,4.074966565217391,7.5,601100,67.0,76.0,PG-13,688459501.0,Won 1 Oscar. 74 wins & 153 nominations total
597,tt0120338,Titanic,1997-12-18,"Drama, Romance",200000000.0,2264162353.0,194,en,"Paramount Pictures, 20th Century Fox, Lightstorm Entertainment",15.8007,7.902,27361,1997,Drama,True,True,10.320811765,8.0,1389357,75.0,88.0,PG-13,674354882.0,Won 11 Oscars. 126 wins & 84 nominations total
980477,tt34956443,Ne Zha 2,2025-01-29,"Animation, Action, Fantasy, Adventure",80000000.0,2259822417.0,144,zh,"Chengdu Coco Cartoon, Beijing Enlight Pictures, Beijing Enlight Media, Chengdu Zizai Jingjie Culture Media, Beijing Coloroom Technology",22.9067,8.1,755,2025,Animation,True,True,27.2477802125,7.9,23207,68.0,91.0,PG-13,23308176.0,20 wins & 8 nominations total
140607,tt2488496,Star Wars: The Force Awakens,2015-12-15,"Adventure, Action, Science Fiction",245000000.0,2068223624.0,136,en,"Lucasfilm Ltd., Bad Robot",6.879,7.248,20661,2015,Adventure,True,True,7.44172907755102,7.7,1018738,80.0,93.0,PG-13,936662225.0,Nominated for 5 Oscars. 64 wins & 140 nominations total
299536,tt4154756,Avengers: Infinity War,2018-04-25,"Adventure, Action, Science Fiction",300000000.0,2052415039.0,149,en,Marvel Studios,22.6013,8.239,32298,2018,Adventure,True,True,5.841383463333333,8.4,1368739,68.0,85.0,PG-13,678815482.0,Nominated for 1 Oscar. 48 wins & 80 nominations total
634649,tt10872600,Spider-Man: No Way Home,2021-12-15,"Action, Adventure, Science Fiction",200000000.0,2019206586.0,148,en,"Marvel Studios, Pascal Pictures, Columbia Pictures",32.2754,7.934,22243,2021,Action,True,True,9.09603293,8.1,1017543,71.0,93.0,PG-13,814866759.0,Nominated for 1 Oscar. 35 wins & 72 nominations total
1084242,tt26443597,Zootopia 2,2025-11-26,"Animation, Adventure, Comedy, Mystery, Family",150000000.0,1868208796.0,108,en,"Walt Disney Animation Studios, Walt Disney Animation Studios",29.6727,7.683,3116,2025,Animation,True,True,11.454725306666669,7.3,141989,73.0,92.0,PG,428130160.0,Nominated for 1 Oscar. 20 wins & 90 nominations total
1022789,tt22022452,Inside Out 2,2024-06-11,"Animation, Adventure, Comedy, Family",200000000.0,1698863816.0,97,en,Pixar,15.5141,7.544,6789,2024,Animation,True,True,7.49431908,7.5,245290,73.0,91.0,PG,652980194.0,Nominated for 1 Oscar. 7 wins & 107 nominations total
135397,tt0369610,Jurassic World,2015-06-06,"Adventure, Science Fiction, Thriller",150000000.0,1671537444.0,124,en,"Amblin Entertainment, Universal Pictures, Legendary Pictures",16.9054,6.703,21693,2015,Adventure,True,True,10.14358296,6.9,723175,59.0,72.0,PG-13,653406625.0,15 wins & 58 nominations total
420818,tt6105098,The Lion King,2019-07-12,"Adventure, Drama, Family, Animation",260000000.0,1662020819.0,118,en,"Walt Disney Pictures, Fairview Entertainment",11.8006,7.096,10800,2019,Adventure,True,True,5.392387765384616,6.8,290328,55.0,52.0,PG,543638043.0,Nominated for 1 Oscar. 21 wins & 44 nominations total
24428,tt0848228,The Avengers,2012-04-25,"Science Fiction, Action, Adventure",220000000.0,1518815515.0,143,en,Marvel Studios,27.1498,8.057,38785,2012,Science Fiction,True,True,5.903706886363636,8.0,1555308,69.0,91.0,PG-13,623357910.0,Nominated for 1 Oscar. 40 wins & 81 nominations total
168259,tt2820852,Furious 7,2015-04-01,"Action, Crime, Thriller",190000000.0,1515400000.0,138,en,"Original Film, One Race, Universal Pictures",9.5689,7.218,11363,2015,Action,True,True,6.975789473684211,7.1,437204,67.0,81.0,PG-13,353007020.0,36 wins & 36 nominations total
83533,tt1757678,Avatar: Fire and Ash,2025-12-17,"Science Fiction, Adventure, Fantasy",350000000.0,1490477656.0,198,en,"20th Century Studios, Lightstorm Entertainment, TSG Entertainment",123.0,7.633,3848,2025,Science Fiction,True,True,3.2585075885714287,7.2,191187,61.0,66.0,PG-13,404340010.0,Won 1 Oscar. 41 wins & 62 nominations total
361743,tt1745960,Top Gun: Maverick,2022-05-21,"Action, Drama",170000000.0,1488732821.0,131,en,"Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount Pictures",13.0261,8.158,11175,2022,Action,True,True,7.757251888235294,8.2,855273,78.0,96.0,PG-13,718732821.0,Won 1 Oscar. 114 wins & 237 nominations total
330457,tt4520988,Frozen II,2019-11-20,"Family, Animation, Adventure, Comedy, Fantasy",150000000.0,1453683476.0,103,en,Walt Disney Animation Studios,10.8444,7.229,10346,2019,Family,True,True,8.691223173333332,6.8,216694,64.0,77.0,PG,477373578.0,Nominated for 1 Oscar. 18 wins & 95 nominations total
346698,tt1517268,Barbie,2023-07-19,"Comedy, Adventure, Fantasy",145000000.0,1447138421.0,114,en,"LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures",11.0016,6.918,11246,2023,Comedy,True,True,8.980264972413794,6.8,667737,80.0,88.0,PG-13,636238421.0,Won 1 Oscar. 215 wins & 436 nominations total
99861,tt2395427,Avengers: Age of Ultron,2015-04-22,"Action, Adventure, Science Fiction",235000000.0,1405403694.0,141,en,Marvel Studios,20.3748,7.275,24611,2015,Action,True,True,4.98044125106383,7.3,998463,66.0,75.0,PG-13,459005868.0,8 wins & 52 nominations total
502356,tt6718170,The Super Mario Bros. Movie,2023-04-05,"Family, Comedy, Adventure, Fantasy, Animation",100000000.0,1360879735.0,93,en,"Universal Pictures, Illumination, Nintendo",31.158,7.604,10898,2023,Family,True,True,12.60879735,7.0,295821,46.0,59.0,PG,574934330.0,2 wins & 49 nominations total
284054,tt1825683,Black Panther,2018-02-13,"Action, Adventure, Science Fiction",200000000.0,1349926083.0,135,en,Marvel Studios,12.7883,7.364,23619,2018,Action,True,True,5.749630415,7.3,907405,88.0,96.0,PG-13,700426566.0,Won 3 Oscars. 125 wins & 289 nominations total
12445,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,"Adventure, Fantasy",125000000.0,1341511219.0,130,en,"Warner Bros. Pictures, Heyday Films",17.1744,8.08,22138,2011,Adventure,True,True,9.732089752,8.1,1035967,85.0,96.0,PG-13,381884297.0,Nominated for 3 Oscars. 49 wins & 96 nominations total
533535,tt6263850,Deadpool & Wolverine,2024-07-24,"Action, Comedy, Science Fiction",200000000.0,1338073645.0,128,en,"Marvel Studios, Maximum Effort, 21 Laps Entertainment, 20th Century Studios, Kevin Feige Productions, TSG Entertainment",17.8415,7.581,8946,2024,Action,True,True,5.690368225,7.5,565006,56.0,77.0,R,636745858.0,31 wins & 71 nominations total
181808,tt2527336,Star Wars: The Last Jedi,2017-12-13,"Adventure, Action, Science Fiction",300000000.0,1334407706.0,152,en,Lucasfilm Ltd.,20.2927,6.747,16444,2017,Adventure,True,True,3.4480256866666665,6.8,714411,84.0,91.0,PG-13,620181382.0,Nominated for 4 Oscars. 26 wins & 100 nominations total
351286,tt4881806,Jurassic World: Fallen Kingdom,2018-06-06,"Adventure, Science Fiction, Thriller",170000000.0,1310469037.0,129,en,"Amblin Entertainment, Universal Pictures",6.5699,6.531,12851,2018,Adventure,True,True,6.708641394117647,6.1,382093,51.0,47.0,PG-13,417719760.0,5 wins & 26 nominations total
109445,tt2294629,Frozen,2013-11-20,"Animation, Family, Adventure, Fantasy",150000000.0,1274219009.0,102,en,Walt Disney Animation Studios,18.6585,7.249,17677,2013,Animation,True,True,7.494793393333333,7.4,708011,75.0,89.0,PG,400953009.0,Won 2 Oscars. 83 wins & 60 nominations total
321612,tt2771200,Beauty and the Beast,2017-03-16,"Family, Fantasy, Romance",160000000.0,1266115964.0,129,en,"Walt Disney Pictures, Mandeville Films",8.3216,7.0,16065,2017,Family,True,True,6.913224775,7.1,356758,65.0,71.0,PG,504481165.0,Nominated for 2 Oscars. 17 wins & 81 nominations total
260513,tt3606756,Incredibles 2,2018-06-14,"Action, Adventure, Animation, Family",200000000.0,1243225667.0,118,en,Pixar,11.3073,7.454,13771,2018,Action,True,True,5.216128335,7.5,366471,80.0,93.0,PG,608581744.0,Nominated for 1 Oscar. 14 wins & 81 nominations total
337339,tt4630562,The Fate of the Furious,2017-04-12,"Action, Crime, Thriller",250000000.0,1236000000.0,136,en,"Original Film, One Race, Universal Pictures",4.8697,6.853,10873,2017,Action,True,True,3.944,6.6,273831,56.0,67.0,PG-13,226008385.0,2 wins & 16 nominations total
68721,tt1300854,Iron Man 3,2013-04-18,"Action, Adventure, Science Fiction",200000000.0,1215577205.0,130,en,Marvel Studios,12.4333,6.933,23559,2013,Action,True,True,5.077886025,7.1,964747,62.0,79.0,PG-13,409013994.0,Nominated for 1 Oscar. 20 wins & 63 nominations total
211672,tt2293640,Minions,2015-06-17,"Family, Animation, Adventure, Comedy",74000000.0,1159457503.0,91,en,"Illumination, Universal Pictures",10.0715,6.42,11165,2015,Family,True,True,14.668344635135137,6.4,281964,56.0,55.0,PG,336045770.0,Nominated for 1 BAFTA Award4 wins & 29 nominations total
271110,tt3498820,Captain America: Civil War,2016-04-27,"Adventure, Action, Science Fiction",250000000.0,1155046416.0,147,en,Marvel Studios,15.4123,7.449,24167,2016,Adventure,True,True,3.620185664,7.8,925892,75.0,90.0,PG-13,408084349.0,16 wins & 73 nominations total
297802,tt1477834,Aquaman,2018-12-07,"Action, Adventure, Fantasy",160000000.0,1152028393.0,143,en,"The Safran Company, Warner Bros. Pictures, DC Films",10.2204,6.867,15003,2018,Action,True,True,6.20017745625,6.8,552623,55.0,66.0,PG-13,335104314.0,3 wins & 36 nominations total
429617,tt6320628,Spider-Man: Far From Home,2019-06-28,"Action, Adventure, Science Fiction",160000000.0,1132723226.0,129,en,"Marvel Studios, Pascal Pictures, Columbia Pictures",20.1714,7.396,17113,2019,Action,True,True,6.0795201625,7.3,637793,69.0,91.0,PG-13,391283774.0,11 wins & 26 nominations total
299537,tt4154664,Captain Marvel,2019-03-06,"Action, Adventure, Science Fiction",152000000.0,1131416446.0,124,en,Marvel Studios,9.381,6.779,16858,2019,Action,True,True,6.44352925,6.7,658051,64.0,79.0,PG-13,426829839.0,10 wins & 57 nominations total
38356,tt1399103,Transformers: Dark of the Moon,2011-06-28,"Action, Science Fiction, Adventure",195000000.0,1123794079.0,154,en,"Paramount Pictures, di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions",2.172,6.236,9022,2011,Action,True,True,4.763046558974359,6.2,453805,42.0,35.0,PG-13,352390543.0,Nominated for 3 Oscars. 11 wins & 42 nominations total
122,tt0167260,The Lord of the Rings: The Return of the King,2003-12-17,"Adventure, Fantasy, Action",94000000.0,1118888979.0,201,en,"New Line Cinema, WingNut Films, The Saul Zaentz Company",19.3953,8.501,26862,2003,Adventure,True,True,10.903074244680852,9.0,2161991,94.0,94.0,PG-13,386975644.0,Won 11 Oscars. 215 wins & 124 nominations total
37724,tt1074638,Skyfall,2012-10-24,"Action, Adventure, Thriller",200000000.0,1108594176.0,143,en,"Metro-Goldwyn-Mayer, EON Productions, Columbia Pictures",5.2107,7.263,16207,2012,Action,True,True,4.54297088,7.8,768360,81.0,92.0,PG-13,304360277.0,Won 2 Oscars. 69 wins & 125 nominations total
91314,tt2109248,Transformers: Age of Extinction,2014-06-25,"Science Fiction, Action, Adventure",210000000.0,1105261713.0,165,en,"di Bonaventura Pictures, DeSanto/Murphy Productions, Ian Bryce Productions, Paramount Pictures, Hasbro",10.3858,5.97,8829,2014,Science Fiction,True,True,4.2631510142857145,5.6,347982,32.0,18.0,PG-13,245439076.0,5 wins & 23 nominations total
49026,tt1345836,The Dark Knight Rises,2012-07-17,"Action, Crime, Drama, Thriller",250000000.0,1081041287.0,165,en,"Syncopy, Legendary Pictures, Warner Bros. Pictures, DC",10.3003,7.8,24544,2012,Action,True,True,3.324165148,8.4,1990749,78.0,87.0,PG-13,448149584.0,Nominated for 1 BAFTA Award. 45 wins & 103 nominations total
475557,tt7286456,Joker,2019-10-01,"Crime, Thriller, Drama",55000000.0,1078958629.0,122,en,"Warner Bros. Pictures, Joint Effort, Village Roadshow Pictures, Bron Studios, DC Films",21.5006,8.123,27916,2019,Crime,True,True,18.617429618181816,8.3,1690149,59.0,68.0,R,335477657.0,Won 2 Oscars. 120 wins & 247 nominations total
181812,tt2527338,Star Wars: The Rise of Skywalker,2019-12-18,"Adventure, Action, Science Fiction",489900000.0,1074144248.0,142,en,"Lucasfilm Ltd., Bad Robot",9.5193,6.262,10934,2019,Adventure,True,True,1.192578583384364,6.3,536918,53.0,51.0,PG-13,515202542.0,Nominated for 3 Oscars. 21 wins & 55 nominations total
301528,tt1979376,Toy Story 4,2019-06-19,"Family, Comedy, Animation, Adventure",175000000.0,1073841394.0,100,en,Pixar,20.3482,7.462,10751,2019,Family,True,True,5.1362365371428576,7.6,310352,84.0,97.0,G,434038008.0,Won 1 Oscar. 61 wins & 65 nominations total
10193,tt0435761,Toy Story 3,2010-06-16,"Animation, Family, Comedy",200000000.0,1067316101.0,103,en,Pixar,18.1771,7.813,15939,2010,Animation,True,True,4.336580505,8.3,961588,92.0,98.0,G,415004880.0,Won 2 Oscars. 63 wins & 96 nominations total
58,tt0383574,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,"Adventure, Fantasy, Action",200000000.0,1066179747.0,151,en,"Walt Disney Pictures, Jerry Bruckheimer Films, Second Mate Productions",11.5169,7.387,17330,2006,Adventure,True,True,4.330898735,7.4,825206,53.0,53.0,PG-13,423315812.0,Won 1 Oscar. 45 wins & 54 nominations total
1241982,tt13622970,Moana 2,2024-11-21,"Adventure, Animation, Comedy, Family, Fantasy",150000000.0,1059242164.0,100,en,"Walt Disney Animation Studios, Walt Disney Animation Studios",43.9029,6.993,3156,2024,Adventure,True,True,6.061614426666667,6.3,125961,58.0,61.0,PG,460405297.0,6 wins & 30 nominations total
330459,tt3748528,Rogue One: A Star Wars Story,2016-12-14,"Action, Adventure, Science Fiction",200000000.0,1056057273.0,133,en,Lucasfilm Ltd.,5.7827,7.509,16525,2016,Action,True,True,4.280286365,7.8,748381,65.0,84.0,PG-13,533539991.0,Nominated for 2 Oscars. 24 wins & 85 nominations total
420817,tt6139732,Aladdin,2019-05-22,"Adventure, Fantasy, Romance, Family",183000000.0,1054304000.0,127,en,"Walt Disney Pictures, Rideback",11.8937,7.082,10685,2019,Adventure,True,True,4.761224043715847,6.9,312476,53.0,57.0,PG,355559216.0,9 wins & 39 nominations total
1865,tt1298650,Pirates of the Caribbean: On Stranger Tides,2011-05-15,"Adventure, Action, Fantasy",379000000.0,1046721266.0,136,en,"Walt Disney Pictures, Jerry Bruckheimer Films, Moving Picture Company",7.8885,6.571,15063,2011,Adventure,True,True,1.7617975356200528,6.6,606603,45.0,32.0,PG-13,241071802.0,3 wins & 31 nominations total
1893,tt0120915,Star Wars: Episode I - The Phantom Menace,1999-05-19,"Adventure, Action, Science Fiction",115000000.0,1046515409.0,136,en,Lucasfilm Ltd.,8.6825,6.6,15964,1999,Adventure,True,True,8.100133991304348,6.5,917424,51.0,54.0,PG,487576624.0,Nominated for 3 Oscars. 28 wins & 71 nominations total
552524,tt11655566,Lilo & Stitch,2025-05-17,"Family, Science Fiction, Comedy",100000000.0,1038027526.0,108,en,"Walt Disney Pictures, Rideback",15.6617,7.199,2195,2025,Family,True,True,9.38027526,6.7,93833,53.0,72.0,PG,423778855.0,Nominated for 1 BAFTA Award. 10 nominations total
324852,tt3469046,Despicable Me 3,2017-06-15,"Action, Animation, Comedy, Family, Adventure",80000000.0,1034800131.0,90,en,"Illumination, Universal Pictures",5.2867,6.469,7680,2017,Action,True,True,11.9350016375,6.3,178392,49.0,58.0,PG,264624300.0,33 nominations total
127380,tt2277860,Finding Dory,2016-06-16,"Adventure, Animation, Family",200000000.0,1029266989.0,97,en,Pixar,9.6735,7.042,12723,2016,Adventure,True,True,4.146334945,7.2,331036,77.0,94.0,PG,486295561.0,Nominated for 1 BAFTA Award17 wins & 48 nominations total
269149,tt2948356,Zootopia,2016-02-11,"Animation, Adventure, Family, Comedy",150000000.0,1025521689.0,109,en,Walt Disney Animation Studios,18.8993,7.765,18275,2016,Animation,True,True,5.83681126,8.0,625023,78.0,98.0,PG,341268248.0,Won 1 Oscar. 49 wins & 75 nominations total
12155,tt1014759,Alice in Wonderland,2010-03-03,"Family, Fantasy, Adventure",200000000.0,1025467110.0,108,en,"Walt Disney Pictures, Roth Films, Team Todd, Tim Burton Productions, The Zanuck Company",7.6979,6.645,14899,2010,Family,True,True,4.12733555,6.4,464214,53.0,51.0,PG,334191110.0,Won 2 Oscars. 35 wins & 65 nominations total
49051,tt0903624,The Hobbit: An Unexpected Journey,2012-12-12,"Adventure, Fantasy, Action",250000000.0,1021103568.0,169,en,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",8.8004,7.378,19775,2012,Adventure,True,True,3.084414272,7.8,926871,58.0,64.0,PG-13,303030651.0,Nominated for 3 Oscars. 11 wins & 76 nominations total
1226863,tt28650488,The Super Mario Galaxy Movie,2026-04-01,"Family, Comedy, Adventure, Fantasy, Animation",110000000.0,1009214136.0,98,en,"Illumination, Universal Pictures, Nintendo",102.8317,8.261,3118,2026,Family,True,True,8.174673963636364,6.3,55972,37.0,,PG,427096185.0,
155,tt0468569,The Dark Knight,2008-07-16,"Action, Crime, Thriller",185000000.0,1004558444.0,152,en,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",22.3965,8.5,36121,2008,Action,True,True,4.430045643243243,9.1,3161907,85.0,94.0,PG-13,534987076.0,Won 2 Oscars. 163 wins & 165 nominations total
507086,tt8041270,Jurassic World Dominion,2022-06-01,"Adventure, Science Fiction, Thriller",658800000.0,1004004592.0,147,en,"Amblin Entertainment, Universal Pictures",18.4765,6.602,7137,2022,Adventure,True,True,0.5239899696417729,5.6,245361,38.0,28.0,PG-13,376851080.0,1 win & 26 nominations total
936075,tt11378946,Michael,2026-04-22,"Music, Drama",250000000.0,1001897734.0,128,en,"Lionsgate, GK Films, Optimum Productions",100.6852,8.705,3581,2026,Music,True,True,3.007590936,7.5,144205,39.0,38.0,PG-13,371294610.0,7 wins & 5 nominations total
353486,tt2283362,Jumanji: Welcome to the Jungle,2017-12-09,"Adventure, Comedy, Fantasy, Action",90000000.0,995339117.0,119,en,"Matt Tolmach Productions, Seven Bucks Productions, Columbia Pictures",4.8245,6.821,14602,2017,Adventure,True,True,10.059323522222222,6.9,501548,58.0,76.0,PG-13,404540171.0,5 wins & 15 nominations total
671,tt0241527,Harry Potter and the Philosopher's Stone,2001-11-16,"Adventure, Fantasy",125000000.0,976475550.0,152,en,"Warner Bros. Pictures, Heyday Films, 1492 Pictures",19.557,7.9,29820,2001,Adventure,True,True,6.8118044,7.7,944457,65.0,80.0,PG,319765078.0,Nominated for 3 Oscars. 20 wins & 75 nominations total
519182,tt7510222,Despicable Me 4,2024-06-20,"Animation, Comedy, Action, Science Fiction, Family",100000000.0,972021410.0,94,en,"Universal Pictures, Illumination",13.6248,6.983,3265,2024,Animation,True,True,8.7202141,6.2,76384,52.0,56.0,PG,361004205.0,2 wins & 6 nominations total
93456,tt1690953,Despicable Me 2,2013-06-26,"Animation, Comedy, Family, Science Fiction",76000000.0,970766005.0,98,en,"Illumination, Universal Pictures",13.2625,6.947,12066,2013,Animation,True,True,11.773236907894736,7.3,456712,62.0,75.0,PG,368065385.0,Nominated for 2 Oscars. 12 wins & 66 nominations total
278927,tt3040964,The Jungle Book,2016-04-07,"Adventure, Family, Fantasy",175000000.0,966550600.0,106,en,"Walt Disney Pictures, Fairview Entertainment, Moving Picture Company",8.1536,6.876,8545,2016,Adventure,True,True,4.523146285714286,7.3,304379,77.0,94.0,PG,364001123.0,Won 1 Oscar. 33 wins & 56 nominations total
285,tt0449088,Pirates of the Caribbean: At World's End,2007-05-19,"Adventure, Fantasy, Action",300000000.0,961691209.0,169,en,"Jerry Bruckheimer Films, Second Mate Productions, Walt Disney Pictures",8.6291,7.277,15605,2007,Adventure,True,True,2.205637363333333,7.2,743246,50.0,43.0,PG-13,309420425.0,Nominated for 2 Oscars. 23 wins & 51 nominations total
950387,tt3566834,A Minecraft Movie,2025-03-31,"Family, Fantasy, Comedy, Adventure",150000000.0,960387780.0,101,en,"Warner Bros. Pictures, Legendary Pictures, Mojang Studios, Vertigo Entertainment, On the Roam, Domain Entertainment",20.863,6.258,3107,2025,Family,True,True,5.4025852,5.6,153774,45.0,,PG,424087780.0,2 wins & 15 nominations total
57158,tt1170358,The Hobbit: The Desolation of Smaug,2013-12-11,"Fantasy, Adventure, Action",250000000.0,958400000.0,161,en,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",11.0966,7.582,14323,2013,Fantasy,True,True,2.8336,7.8,752978,66.0,74.0,PG-13,258387334.0,Nominated for 3 Oscars. 19 wins & 90 nominations total
122917,tt2310332,The Hobbit: The Battle of the Five Armies,2014-12-10,"Action, Adventure, Fantasy",250000000.0,956019788.0,144,en,"New Line Cinema, Metro-Goldwyn-Mayer, WingNut Films",15.066,7.338,15492,2014,Action,True,True,2.824079152,7.4,617163,59.0,59.0,R,255138261.0,Nominated for 1 Oscar. 8 wins & 56 nominations total
453395,tt9419884,Doctor Strange in the Multiverse of Madness,2022-05-04,"Fantasy, Action, Adventure",350600000.0,955775804.0,126,en,"Marvel Studios, Kevin Feige Productions",16.2107,7.232,10475,2022,Fantasy,True,True,1.7261146719908729,6.9,543288,60.0,73.0,PG-13,411331607.0,10 wins & 31 nominations total
12444,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010-11-17,"Adventure, Fantasy",250000000.0,954305868.0,146,en,"Warner Bros. Pictures, Heyday Films",10.3308,7.735,20530,2010,Adventure,True,True,2.817223472,7.7,659115,65.0,77.0,PG-13,296374621.0,Nominated for 2 Oscars. 15 wins & 55 nominations total
872585,tt15398776,Oppenheimer,2023-07-19,"Drama, History",100000000.0,952000000.0,181,en,"Syncopy, Universal Pictures, Atlas Entertainment, Breakheart Films, Peters Creek Entertainment",40.6465,8.025,12009,2023,Drama,True,True,8.52,8.2,1024033,90.0,93.0,R,330078895.0,Won 7 Oscars. 370 wins & 378 nominations total
